G1	<grk>Ἀλφα</grk> alpha
G8973	<grk>πτερνίζω</grk> to stomp; catch by a heel
G8974	<grk>πτερνισμός</grk> trickery
G8975	<grk>πτερόν</grk> a feather
G8976	<grk>πτεροφυέω</grk> to grow wings
G8977	<grk>πτερύσσομαι</grk> to flap wings
G8978	<grk>πτερωτός</grk> feathered
G8979	<grk>πτήσσω</grk> to alarm
G8980	<grk>πτίλλος</grk> hairless
G8981	<grk>πτύελος</grk> spittle
G8982	<grk>πτύξις</grk> fold
G8983	<grk>πτυχή</grk> fold
G8984	<grk>πτωχίζω</grk> to make poor
G8985	<grk>πύγαργος</grk> white-tailed hart
G8986	<grk>πυθμήν</grk> a lower branch
G8987	<grk>πυκάζω</grk> be dense
G8988	<grk>πυλωρός</grk> a gatekeeper
G8989	<grk>πυξίον</grk> a writing tablet
G8990	<grk>πύξος</grk> boxwood
G8991	<grk>πυργόβαρις</grk> a towered fortification
G8992	<grk>πυρεῖον</grk> a censer
G8993	<grk>πυρίκαυστος</grk> scorched
G8994	<grk>πυρός</grk> wheat
G8995	<grk>πυροφόρος</grk> a wheat harvest
G8996	<grk>πυρράκης</grk> fiery red
G8997	<grk>πυρρίζω</grk> be reddish
G8998	<grk>πυρσεύω</grk> to light a fire
G8999	<grk>πυρσός</grk> a signal-fire
G9000	<grk>πυρφόρος</grk> a fire-bearer
G9001	<grk>πυρωτής</grk> a refiner
G9002	<grk>πώγων</grk> a beard
G9003	<grk>ῥαγάς</grk> a breach
G9004	<grk>ρ᾽άδαμνος</grk> a tender branch
G9005	<grk>Ῥαθαμά</grk> broom shrub
G9006	<grk>ῥαθυμέω</grk> be lazy
G9007	<grk>ῥαίνω</grk> to sprinkle
G9008	<grk>ῥακώδης</grk> ragged
G9009	<grk>ῥάμμα</grk> thread
G9010	<grk>ῥάμνος</grk> white-thorn
G9011	<grk>ῥαντός</grk> speckled
G9012	<grk>ῥαπτός</grk> strung together
G9013	<grk>ῥάπτω</grk> to sew
G9014	<grk>ρασίμ</grk> courier
G9015	<grk>ῥάσσω</grk> to dash down
G9016	<grk>ῥαφιδευτής</grk> a stitcher
G9017	<grk>ῥαφιδευτός</grk> a stitched work
G9018	<grk>ῥάχις</grk> a spine
G9019	<grk>ῥέγχω</grk> to snore
G9020	<grk>ῥεμβεύω</grk> to stray
G9021	<grk>ῥέμβω</grk> to stray
G9022	<grk>ῥῆσις</grk> a saying
G9023	<grk>ῥητίνη</grk> balm
G9024	<grk>ῥητός</grk> in particular
G9025	<grk>ῥῖγος</grk> shivering
G9026	<grk>ῥίζωμα</grk> a root
G9027	<grk>ῥίν</grk> nostril
G9028	<grk>ῥιπιστός</grk> ventilated
G9029	<grk>ῥόα</grk> a pomegranate
G9030	<grk>ῥοιζέω</grk> to gurgle
G9031	<grk>ῥοῖζος</grk> impetus
G9032	<grk>ῥοΐσκος</grk> a pomegranate figure
G9033	<grk>ῥόπαλον</grk> a club
G9034	<grk>ῥοπή</grk> crux
G9035	<grk>ῥοών</grk> a pomegranate grove
G9036	<grk>ῥύαξ</grk> an overflow
G9037	<grk>ῥυθμίζω</grk> to compose
G9038	<grk>ῥυθμός</grk> a proportion
G9039	<grk>ῥύστης</grk> a rescuer
G9040	<grk>Ρωκεϊμ</grk> a perfumer
G9041	<grk>ῥωγαλέος</grk> stone
G9042	<grk>ς</grk> 6
G9043	<grk>Σαββατίζω</grk> to observe sabbaths
G9044	<grk>σαβεί</grk> glory
G9045	<grk>σαβέκ</grk> a thicket
G9046	<grk>σάγμα</grk> a packsaddle
G9047	<grk>Σαδδαΐ</grk> Saddai
G9048	<grk>σαδημώθ</grk> a plain
G9049	<grk>σαδηρώθ</grk> ranks
G9050	<grk>σαθρός</grk> rotten
G9051	<grk>σαθρόω</grk> to disintegrate
G9052	<grk>σαμβύκη</grk> a sambuke
G9053	<grk>σανιδωτός</grk> planked
G9054	<grk>σαπρία</grk> rottenness
G9055	<grk>σαπρίζω</grk> to rot
G9056	<grk>σαράβαρα</grk> pantaloons
G9057	<grk>σάρδιος</grk> a carnelian
G9058	<grk>σατραπεία</grk> a satrapy
G9059	<grk>σατράπης</grk> satrap
G9060	<grk>σαύρα</grk> a lizard
G9061	<grk>σαφώθ</grk> cheese
G9062	<grk>σαφῶς</grk> clearly
G9063	<grk>Σειρήν</grk> a siren
G9064	<grk>σειρομάστης</grk> a spear
G9065	<grk>σελίς</grk> column
G9066	<grk>σελισία</grk> of three years
G9067	<grk>σεραφίμ</grk> seraphim
G9068	<grk>σευτλίον</grk> a beet
G9069	<grk>σημαία</grk> a flag
G9070	<grk>σημασία</grk> a cheer
G9071	<grk>σημείωσις</grk> a signal
G9072	<grk>σῆψις</grk> putrefaction
G9073	<grk>σθένος</grk> strength (physical)
G9074	<grk>σιαγόνιον</grk> a jawbone
G9075	<grk>σῖγα</grk> quiet
G9076	<grk>σιδήριον</grk> an iron implement
G9077	<grk>σίελον</grk> saliva
G9078	<grk>σίκιμα</grk> a portion
G9079	<grk>σίκλος</grk> a shekel
G9080	<grk>σικυήρατον</grk> a cucumber garden
G9081	<grk>σίκυος</grk> a cucumber
G9082	<grk>σιρώνων</grk> ornaments
G9083	<grk>σισόη</grk> a consecrated lock of hair
G9084	<grk>σιτέω</grk> be well fed
G9085	<grk>σιτοβολών</grk> a granary
G9086	<grk>σιτοδεία</grk> scarcity
G9087	<grk>σιτοδοσία</grk> provision
G9088	<grk>σιτομετρέω</grk> to measure out grain
G9089	<grk>σιτοποιός</grk> a baker
G9090	<grk>σιωπή</grk> silence
G9091	<grk>σιώπησις</grk> a veil
G9092	<grk>σκάλλω</grk> to till
G9093	<grk>σκαμβός</grk> crooked
G9094	<grk>σκελίζω</grk> to trip up
G9095	<grk>σκεπάζω</grk> to shelter
G9096	<grk>σκέπαρνον</grk> a hammer
G9097	<grk>σκεπαστής</grk> a shelterer
G9098	<grk>σκέπη</grk> a shelter
G9099	<grk>σκεπηνός</grk> protected
G9100	<grk>σκέπτομαι</grk> to look about
G9101	<grk>σκευασία</grk> a concoction
G9102	<grk>σκευαστός</grk> concocted
G9103	<grk>σκευοφύλαξ</grk> provisions officer
G9104	<grk>σκῆπτρον</grk> a chiefdom
G9105	<grk>σκιάδιον</grk> an awning
G9106	<grk>σκιάζω</grk> to shade
G9107	<grk>σκληροκάρδιος</grk> hard-hearted
G9108	<grk>σκληροπρόσωπος</grk> harsh
G9109	<grk>σκληρῶς</grk> harshly
G9110	<grk>σκνίψ</grk> a midge
G9111	<grk>σκολιάζω</grk> perverse
G9112	<grk>σκολιότης</grk> deformity
G9113	<grk>σκολιῶς</grk> crookedly
G9114	<grk>σκόπελον</grk> a high rock
G9115	<grk>σκοπιά</grk> a height
G9116	<grk>σκόρδον</grk> garlic
G9117	<grk>σκοτάζω</grk> to darken
G9118	<grk>σκοτομήνη</grk> moonlight
G9119	<grk>σκυθρωπάζω</grk> to look downcast
G9120	<grk>σκυλεύω</grk> to despoil
G9121	<grk>σκύμνος</grk> a cub
G9122	<grk>σκυτάλη</grk> a stave
G9123	<grk>σκῶλον</grk> an impediment
G9124	<grk>σμαραγδίτης</grk> an emerald
G9125	<grk>σμῆγμα</grk> beauty treatment
G9126	<grk>σμικρύνω</grk> to diminish
G9127	<grk>σμῖλαξ</grk> a yew tree
G9128	<grk>σμυρίτης</grk> an emery stone
G9129	<grk>σμύρνινος</grk> of myrrh
G9130	<grk>σοφιστής</grk> a wise man
G9131	<grk>σοφόω</grk> to give wisdom
G9132	<grk>σοφῶς</grk> wisely
G9133	<grk>σπάδων</grk> a castrato
G9134	<grk>σπανίζω</grk> be depleted
G9135	<grk>σπάνιος</grk> sparingly
G9136	<grk>σπάργανον</grk> swaddling cloth
G9137	<grk>σπαρτίον</grk> a cord
G9138	<grk>σπερματίζω</grk> to conceive
G9139	<grk>σπερματισμός</grk> a discharge of semen
G9140	<grk>σπιθαμή</grk> a span
G9141	<grk>σπινθήρ</grk> a spark
G9142	<grk>σποδιά</grk> a pile of ashes
G9143	<grk>σποδοειδής</grk> ashen
G9144	<grk>σπονδεῖον</grk> a libation bowl
G9145	<grk>σπονδή</grk> a libation
G9146	<grk>σταγών</grk> a drop (liquid)
G9147	<grk>στάζω</grk> to drip
G9148	<grk>σταθμάω</grk> to measure by a rule
G9149	<grk>στάθμιον</grk> a scale-weight
G9150	<grk>σταθμός</grk> a doorpost
G9151	<grk>σταῖς</grk> dough
G9152	<grk>στακτή</grk> balsam
G9153	<grk>σταλάζω</grk> to trickle
G9154	<grk>σταφίς</grk> a dried grape
G9155	<grk>στέαρ</grk> fat
G9156	<grk>στεατόομαι</grk> to grow fat
G9157	<grk>στεγάζω</grk> to roof
G9158	<grk>στεγνός</grk> roofed
G9159	<grk>στέλεχος</grk> a stick
G9160	<grk>στέμφυλον</grk> dregs
G9161	<grk>στενακτός</grk> bemoaned
G9162	<grk>στένω</grk> to moan
G9163	<grk>στενῶς</grk> in a strait
G9164	<grk>στένωσις</grk> straitness
G9165	<grk>στερεοκάρδιος</grk> hard-hearted
G9166	<grk>στερέω</grk> to deprive
G9167	<grk>στερίσκω</grk> to deprive
G9168	<grk>στεφάνη</grk> a rim
G9169	<grk>στηθοδεσμίς</grk> a breastband
G9170	<grk>στηθύνιον</grk> a breast
G9171	<grk>στήλη</grk> a monument
G9172	<grk>στηλογραφία</grk> an inscription on a monument
G9173	<grk>στηλόω</grk> to set up a monument
G9174	<grk>στήλωμα</grk> a pillar
G9175	<grk>στήμων</grk> a warp
G9176	<grk>στήριγμα</grk> a reliance
G9177	<grk>στιβαρός</grk> dense
G9178	<grk>στιβαρῶς</grk> densely
G9179	<grk>στίβι</grk> antimony
G9180	<grk>στιβίζομαι</grk> to tinge with antimony
G9181	<grk>στικτός</grk> a mark
G9182	<grk>στιλβόω</grk> to brighten
G9183	<grk>στίλβωσις</grk> shine
G9184	<grk>στίχος</grk> a row
G9185	<grk>στοιβάζω</grk> to pile
G9186	<grk>στοιβή</grk> a pile
G9187	<grk>στοιχίζω</grk> to set in rows
G9188	<grk>στολίζω</grk> to robe
G9189	<grk>στολισμός</grk> a uniform
G9190	<grk>στολιστής</grk> a keeper of wardrobe
G9191	<grk>στοχάζομαι</grk> to take thought
G9192	<grk>στοχαστής</grk> a thinker
G9193	<grk>στραγγαλιά</grk> perverseness
G9194	<grk>στραγγαλιώδης</grk> insidious
G9195	<grk>στραγγίζω</grk> to wring out
G9196	<grk>στρατοκῆρυξ</grk> herald of an army
G9197	<grk>στρατοπεδεία</grk> a military encampment
G9198	<grk>στρατοπεδεύω</grk> to encamp
G9199	<grk>στρεβλός</grk> crooked
G9200	<grk>στρέμμα</grk> a strand
G9201	<grk>στρίφνος</grk> tough
G9202	<grk>στροβέω</grk> to whirl
G9203	<grk>στρογγύλος</grk> globular
G9204	<grk>στρογγύλωμα</grk> round
G9205	<grk>στρογγύλωσις</grk> a battleline
G9206	<grk>στρουθίζω</grk> to chirp
G9207	<grk>στρουθός</grk> an ostrich
G9208	<grk>στροφεύς</grk> a hinge
G9209	<grk>στροφή</grk> a shift and turn
G9210	<grk>στρόφιγξ</grk> a hinge
G9211	<grk>στροφωτός</grk> turnings
G9212	<grk>στρῶμα</grk> a bedding
G9213	<grk>στρωμνή</grk> a strewn bed
G9214	<grk>στυγνός</grk> gloomy
G9215	<grk>στυππέϊνος</grk> of hemp
G9216	<grk>στυππίον</grk> hemp
G9217	<grk>στυράκινος</grk> of a green poplar
G9218	<grk>συγγίνομαι</grk> be intimate with
G9219	<grk>συγγραφή</grk> a writ
G9220	<grk>συγκαθυφαίνω</grk> to interweave
G9221	<grk>συγκαίω</grk> to burn with
G9222	<grk>συγκάλυμμα</grk> a marriage veil
G9223	<grk>συγκατακληρονομέομαι</grk> to inherit together
G9224	<grk>συγκαταμίγνυμι</grk> to mix together with
G9225	<grk>συγκατεσθίω</grk> to devour together
G9226	<grk>συγκαταφέρω</grk> to carry together
G9227	<grk>συγκατοικέω</grk> to dwell together
G9228	<grk>σύγκειμαι</grk> be situated together
G9229	<grk>συγκερατίζομαι</grk> to mix horns
G9230	<grk>συγκλασμός</grk> a splinter
G9231	<grk>συγκλάω</grk> to break in pieces together
G9232	<grk>σύγκλεισμα</grk> a joinery
G9233	<grk>συγκλεισμός</grk> a confinement
G9234	<grk>συγκλειστός</grk> joined
G9235	<grk>σύγκλητος</grk> summoned
G9236	<grk>συγκλύζω</grk> to engulf
G9237	<grk>σύγκοιτος</grk> a bed-mate
G9238	<grk>συγκόπτω</grk> to cut down
G9239	<grk>σύγκρασις</grk> an admixture
G9240	<grk>σύγκριμα</grk> interpretation
G9241	<grk>σύγκρισις</grk> amalgamation
G9242	<grk>συγκροτέω</grk> to strike together
G9243	<grk>συγκυρέω</grk> to fall in with
G9244	<grk>συζώννυμι</grk> to tie together
G9245	<grk>συκάμινον</grk> fruit of sycamine trees
G9246	<grk>συκεών</grk> a fig grove
G9247	<grk>συκοφάντης</grk> an extortioner
G9248	<grk>συκοφαντία</grk> extortion
G9249	<grk>σύλληψις</grk> a seizing
G9250	<grk>συλλογή</grk> collection
G9251	<grk>συλλογισμός</grk> assessment
G9252	<grk>συλλοιδορέω</grk> to join in reviling
G9253	<grk>συμβαστάζω</grk> be compared with
G9254	<grk>σύμβλημα</grk> a coupling
G9255	<grk>σύμβλησις</grk> a coupling
G9256	<grk>συμβοηθός</grk> an ally
G9257	<grk>συμβολή</grk> a compact
G9258	<grk>συμβολοκοπέω</grk> be fond of carousing
G9259	<grk>σύμβολον</grk> a symbol
G9260	<grk>συμβόσκομαι</grk> to feed together
G9261	<grk>συμβουλία</grk> advice
G9262	<grk>συμμαχέω</grk> to fight along with
G9263	<grk>συμμαχία</grk> an alliance in war
G9264	<grk>σύμμετρος</grk> well-proportioned
G9265	<grk>συμμιγής</grk> mixed together
G9266	<grk>συμμίγνυμι</grk> to mix together with
G9267	<grk>σύμμικτος</grk> consolidation
G9268	<grk>σύμμιξις</grk> an alliance
G9269	<grk>συμπαρίστημι</grk> to stand up with
G9270	<grk>σύμπας</grk> all things
G9271	<grk>συμπατέω</grk> to trample upon together
G9272	<grk>συμπεραίνω</grk> to finish off together
G9273	<grk>συμπεριφέρω</grk> to accommodate
G9274	<grk>σύμπλεκτος</grk> closely joined
G9275	<grk>συμπλέκω</grk> be closely joined
G9276	<grk>συμπλήρωσις</grk> fulfillment
G9277	<grk>συμποδίζω</grk> to bind hand and foot
G9278	<grk>συμπολεμέω</grk> to join in war with
G9279	<grk>συμπορπάομαι</grk> to clasp together
G9280	<grk>συμπροπέμπω</grk> to escort
G9281	<grk>συμπρόσειμι</grk> to adhere with
G9282	<grk>συμπροσπλέκομαι</grk> to grapple together
G9283	<grk>σύμπτωμα</grk> a coincidence
G9284	<grk>συμφλέγω</grk> to burn together
G9285	<grk>συμφοράζω</grk> to lament together
G9286	<grk>συμφράσσω</grk> to shut up together
G9287	<grk>συμφρύγω</grk> to parch
G9288	<grk>συμφύρω</grk> to blend together
G9289	<grk>συμφώνως</grk> harmoniously
G9290	<grk>συμψάω</grk> to scrape away
G9291	<grk>συνᾴδω</grk> to sing together in concert
G9292	<grk>συνάλλαγμα</grk> exchange
G9293	<grk>συνανάμιξις</grk> intermingling with
G9294	<grk>συναναφέρω</grk> to join in carrying off
G9295	<grk>συναντή</grk> a meeting with
G9296	<grk>συνάντημα</grk> an event
G9297	<grk>συνάπτω</grk> to join together
G9298	<grk>συναριθμέω</grk> to count with
G9299	<grk>συναυλίζομαι</grk> to lodge with
G9300	<grk>σύναψις</grk> an association
G9301	<grk>συνδειπνέω</grk> to dine with
G9302	<grk>συνδυάζω</grk> to associate oneself
G9303	<grk>σύνεγγυς</grk> in the vicinity
G9304	<grk>συνεδριάζω</grk> to sit together with
G9305	<grk>συνεκπολεμέω</grk> to join in making war
G9306	<grk>συνεκπορεύομαι</grk> to go forth together
G9307	<grk>συνεκτρέφω</grk> to bring up together
G9308	<grk>συνέλκω</grk> to draw together
G9309	<grk>συνεξαίρω</grk> to raise up together
G9310	<grk>συνεξέρχομαι</grk> to go out together
G9311	<grk>συνεπακολουθέω</grk> to follow after together
G9312	<grk>συνεπισκέπω</grk> to consider together
G9313	<grk>συνεπίσταμαι</grk> be conscious of
G9314	<grk>συνεπισχύω</grk> to vigorously assist
G9315	<grk>συνεπιτίθημι</grk> to join in making an attack
G9316	<grk>συνεταιρίς</grk> a female companion
G9317	<grk>συνέταιρος</grk> a male companion
G9318	<grk>συνετίζω</grk> to bring understanding to
G9319	<grk>συνετῶς</grk> expertly
G9320	<grk>συνευφραίνομαι</grk> be glad with
G9321	<grk>συνῆλιξ</grk> a contemporary
G9322	<grk>συνθέλω</grk> to acquiesce
G9323	<grk>σύνθεμα</grk> an agreement with
G9324	<grk>σύνθεσις</grk> a composition
G9325	<grk>σύνθετος</grk> compounded
G9326	<grk>συνθήκη</grk> a treaty
G9327	<grk>συνίστωρ</grk> a joint witness
G9328	<grk>συννέφω</grk> to collect clouds together
G9329	<grk>συννεφής</grk> covered with clouds
G9330	<grk>σύννυμφος</grk> a sister-in-law
G9331	<grk>σύνοδος</grk> a convocation
G9332	<grk>συνοικίζω</grk> to live together
G9333	<grk>συνούλωσις</grk> closing of a wound
G9334	<grk>συνταγή</grk> an arranged order
G9335	<grk>σύνταγμα</grk> an arranged order
G9336	<grk>σύνταξις</grk> a rate
G9337	<grk>συνταράσσω</grk> to disturb
G9338	<grk>συντέλεσμα</grk> custom (tax)
G9339	<grk>συντίμησις</grk> a price
G9340	<grk>συντριβή</grk> a breaking
G9341	<grk>συντριμμός</grk> a break
G9342	<grk>σύντριψις</grk> a defeat
G9343	<grk>συντροχάζω</grk> to roll together
G9344	<grk>συνυφαίνω</grk> to weave together
G9345	<grk>συνυφή</grk> a woven part
G9346	<grk>συνωμότης</grk> a confederate
G9347	<grk>σύριγμα</grk> a hissing
G9348	<grk>σῦριγξ</grk> a flute
G9349	<grk>συρίζω</grk> to hiss
G9350	<grk>συρισμός</grk> a hissing
G9351	<grk>συρράπτω</grk> to sew together
G9352	<grk>σύσκηνος</grk> a fellow tent-dweller
G9353	<grk>συσκιάζω</grk> to overshadow
G9354	<grk>σύσκιος</grk> shady
G9355	<grk>συσκοτάζω</grk> to darken
G9356	<grk>συσπάω</grk> to shrivel
G9357	<grk>συσσεισμός</grk> a quaking
G9358	<grk>συσσείω</grk> to shake
G9359	<grk>σύστασις</grk> a joint-conspiracy
G9360	<grk>σύστεμα</grk> collection
G9361	<grk>σύστρεμμα</grk> a confederation
G9362	<grk>συσφίγγω</grk> close to
G9363	<grk>σφαιρωτήρ</grk> a knob
G9364	<grk>σφακελίζω</grk> to have an inflammation
G9365	<grk>σφαλερός</grk> unsteady
G9366	<grk>σφάλλω</grk> to trip
G9367	<grk>σφάλμα</grk> a trip
G9368	<grk>σφενδονάω</grk> to sling
G9369	<grk>σφενδόνη</grk> a sling
G9370	<grk>σφενδονήτης</grk> a slinger
G9371	<grk>σφηκιά</grk> a swarm of wasps
G9372	<grk>σφηνόω</grk> to wedge
G9373	<grk>σφίγγω</grk> to grasp
G9374	<grk>σφοδρός</grk> vehement
G9375	<grk>σφόνδυλος</grk> a neck vertebrae
G9376	<grk>σφῦρα</grk> an adz
G9377	<grk>σφυροκοπέω</grk> to strike with a hammer
G9378	<grk>σφυροκόπος</grk> a hammer-smith
G9379	<grk>σχάζω</grk> to open up
G9380	<grk>σχεδία</grk> a barge
G9381	<grk>σχίδαξ</grk> kindling
G9382	<grk>σχίζα</grk> a dart
G9383	<grk>σχισμή</grk> a fissure
G9384	<grk>σχιστός</grk> shredded
G9385	<grk>σχοίνισμα</grk> a measured out line
G9386	<grk>σχοινισμός</grk> a piece of measured out land
G9387	<grk>σχοῖνος</grk> a rush
G9388	<grk>σχολαστής</grk> an idler
G9389	<grk>σωματοποιέω</grk> to rejuvenate
G9390	<grk>σωρήκ</grk> a choice vine
G9391	<grk>σωρός</grk> a heap
G9392	<grk>σωφάρ</grk> ram's horn
G9394	<grk>ταινία</grk> fascia
G9395	<grk>τακτικός</grk> tactician
G9396	<grk>ταλαιπώρως</grk> miserably
G9397	<grk>τάλας</grk> miserable
G9398	<grk>ταμίας</grk> a storekeeper
G9399	<grk>ταμιεύω</grk> to store up
G9400	<grk>τανύω</grk> to stretch
G9401	<grk>ταπεινοφρονέω</grk> be humble-minded
G9402	<grk>ταπεινόφρων</grk> humble-minded
G9403	<grk>ταραχώδης</grk> disturbing
G9404	<grk>Τάρταρος</grk> infernal region
G9405	<grk>τάφρος</grk> a trench
G9406	<grk>ταχύνω</grk> to hasten
G9407	<grk>τείνω</grk> to stretch out
G9408	<grk>τειχήρης</grk> walled
G9409	<grk>τειχίζω</grk> to wall
G9410	<grk>τειχιστής</grk> a stonemason
G9411	<grk>τεκνοποιέω</grk> to produce children
G9412	<grk>τεκταίνομαι</grk> to contrive
G9413	<grk>τεκτονικός</grk> a woodworker
G9414	<grk>τελαμών</grk> a ligature
G9415	<grk>τελεσιουργέω</grk> to perfect a work
G9416	<grk>τελετή</grk> mystic rites
G9417	<grk>τελευταῖος</grk> finality
G9418	<grk>τέμενος</grk> a sacred precinct
G9419	<grk>τέμνω</grk> to prune
G9420	<grk>τερατοσκόπος</grk> an observer of signs
G9421	<grk>τερέβινθος</grk> terebinth resin
G9422	<grk>τέρετρον</grk> a drill
G9423	<grk>τερπνός</grk> delightful
G9424	<grk>τερπνότης</grk> delightfulness
G9425	<grk>τέρπω</grk> to delight
G9426	<grk>τέρψις</grk> delight
G9427	<grk>τεσσαρακονταδύο</grk> forty-two
G9428	<grk>τεσσαρακονταεπτά</grk> forty-seven
G9429	<grk>τεσσαρακονταοκτώ</grk> forty-eight
G9430	<grk>τεσσαρακονταπέντε</grk> forty-five
G9431	<grk>τεσσαρακοντατρεῖς</grk> forty-three
G9432	<grk>τεσσαρακοστός</grk> fortieth
G9433	<grk>τεσσαρεσκαίδεκα</grk> fourteen
G9434	<grk>τετράδραχμος</grk> four-drachma
G9435	<grk>τετραίνω</grk> puncture
G9436	<grk>τετρακισμύριοι</grk> forty thousand
G9437	<grk>τετρακοσιοστός</grk> four hundredth
G9438	<grk>τετράπεδος</grk> quadrangular
G9439	<grk>τετραπλῶς</grk> fourfold
G9440	<grk>τετράς</grk> fourth
G9441	<grk>τετράστιχος</grk> arranged in four rows
G9442	<grk>τεχνάζω</grk> to cunningly contrive
G9443	<grk>Τηβήθ</grk> Tebeth
G9444	<grk>τήγανον</grk> a frying pan
G9445	<grk>τηλαύγημα</grk> radiance
G9446	<grk>τηλαυγής</grk> radiant
G9447	<grk>τηλαύγησις</grk> radiance
G9448	<grk>τιάρα</grk> a tiara
G9449	<grk>τιθηνέω</grk> to suckle
G9450	<grk>τιθηνός</grk> a wet-nurse
G9451	<grk>τίμημα</grk> valuation
G9452	<grk>τιμογραφέω</grk> to assess
G9453	<grk>τίναγμα</grk> vibration
G9454	<grk>Τιτάν</grk> titan
G9455	<grk>τιτρώσκω</grk> to pierce
G9456	<grk>τμητός</grk> to cut into shape
G9457	<grk>τοκετός</grk> birth
G9458	<grk>τόλμα</grk> daring
G9459	<grk>τολύπη</grk> a wild gourd
G9460	<grk>τομή</grk> pruning
G9461	<grk>τομίς</grk> a pruning knife
G9462	<grk>τόμος</grk> a roll of papyrus
G9463	<grk>τόξευμα</grk> a bow
G9464	<grk>τοξεύω</grk> to shoot
G9465	<grk>τοξότης</grk> a bowman
G9466	<grk>τοπάρχης</grk> a toparch
G9467	<grk>τορευτός</grk> turned
G9468	<grk>τραγέλαφος</grk> an antelope
G9469	<grk>τρανός</grk> plainly
G9470	<grk>τραυματίας</grk> slain
G9471	<grk>τραχηλιάω</grk> to stiffen the neck
G9472	<grk>τρέπω</grk> to rout
G9473	<grk>τριακονταδύο</grk> thirty-two
G9474	<grk>τριακονταεννέα</grk> thirty-nine
G9475	<grk>τριακονταέξ</grk> thirty-six
G9476	<grk>τριακονταεπτά</grk> thirty-seven
G9477	<grk>τριακονταέτης</grk> thirty years old
G9478	<grk>τριακονταοκτώ</grk> thirty-eight
G9479	<grk>τριακονταπέντε</grk> thirty-five
G9480	<grk>τριακοντατρεῖς</grk> thirty-three
G9481	<grk>τριακοντατέσσαρες</grk> thirty-four
G9482	<grk>τριακοστός</grk> thirtieth
G9483	<grk>τρίβω</grk> be very busy
G9484	<grk>τριέτης</grk> of three years
G9485	<grk>τριετίζω</grk> be three years old
G9486	<grk>τριημερία</grk> third day
G9487	<grk>τριμερίζω</grk> be three parts
G9488	<grk>τριόδους</grk> three-pronged
G9489	<grk>τριπλοῦς</grk> triple
G9490	<grk>τρισκαίδεκα</grk> thirteen
G9491	<grk>τρισκαιδέκατος</grk> thirteenth
G9492	<grk>τρισσεύω</grk> to do three times
G9493	<grk>τρισσός</grk> third rank
G9494	<grk>τρισσόω</grk> to do a third time
G9495	<grk>τρισσῶς</grk> third
G9496	<grk>τριστάτης</grk> a tribune
G9497	<grk>τριταῖος</grk> three days
G9498	<grk>τρίχαπτος</grk> a braid
G9499	<grk>τρίχωμα</grk> hair on a head
G9500	<grk>τριώροφος</grk> third story
G9501	<grk>τροπόω</grk> to put to flight
G9502	<grk>τροφεύω</grk> to nourish
G9503	<grk>τροφοφορέω</grk> to nurture
G9504	<grk>τροχίσκος</grk> a disc
G9505	<grk>τρυγητής</grk> a grape gatherer
G9506	<grk>τρυγητός</grk> a gathering of crops
G9507	<grk>τρυγίας</grk> wine with dregs
G9508	<grk>τρυπάω</grk> to make a hole
G9509	<grk>τρυφαλίς</grk> cheese
G9510	<grk>τρυφερός</grk> delicate
G9511	<grk>τρυφερότης</grk> delicacy
G9512	<grk>τρώγλη</grk> a bore
G9513	<grk>τυλόω</grk> be hardened
G9514	<grk>τυμπανίστρια</grk> performing on a tambourine
G9515	<grk>τύμπανον</grk> a tambourine
G9516	<grk>τυραννέω</grk> be sovereign
G9517	<grk>τυραννίς</grk> a wife of a sovereign
G9518	<grk>τυρόω</grk> to curdle into cheese
G9519	<grk>τύχη</grk> good luck
G9520	<grk>ὕαινα</grk> a hyena
G9521	<grk>ὑβριστικός</grk> outrageous
G9522	<grk>ὑγιάζω</grk> to heal
G9523	<grk>ὑγίεια</grk> health
G9524	<grk>ὑγιῶς</grk> fairly
G9525	<grk>ὑγραίνω</grk> to wet
G9526	<grk>ὑγρασία</grk> wetness
G9527	<grk>ὑδραγωγός</grk> an aqueduct
G9528	<grk>ὑδρεύω</grk> to draw water
G9529	<grk>ὑδρίσκη</grk> a water-pot
G9530	<grk>ὑδροφόρος</grk> a water-carrier
G9531	<grk>ὕειος</grk> like a pig
G9532	<grk>ὑετίζω</grk> to rain
G9533	<grk>ὑλακτέω</grk> to bark
G9534	<grk>ὑλώδης</grk> flush
G9535	<grk>ὕμνησις</grk> singing of praise
G9536	<grk>ὑμνῳδέω</grk> to sing a hymn
G9537	<grk>ὕπαιθρος</grk> open air
G9538	<grk>ὕπατος</grk> supreme
G9539	<grk>ὑπεξαίρω</grk> to remove secretly
G9540	<grk>ὑπεράνωθεν</grk> far above
G9541	<grk>ὑπέραρσις</grk> overflowing
G9542	<grk>ὑπερασπίζω</grk> to shield
G9543	<grk>ὑπερασπισμός</grk> shielding
G9544	<grk>ὑπερασπιστής</grk> a defender
G9545	<grk>ὑπερδυναμόω</grk> to overpower
G9547	<grk>ὑπερεκχέω</grk> to overflow
G9548	<grk>ὑπερηφανέω</grk> be prideful
G9549	<grk>ὑπέρθυρον</grk> a lintel
G9550	<grk>ὑπερισχύω</grk> to excel in strength
G9551	<grk>ὑπέρκειμαι</grk> to have precedence
G9552	<grk>ὑπερκρατέω</grk> to prevail against
G9553	<grk>ὑπερμεγέθης</grk> immense
