G1	Ἀλφα alpha
G8812	πλημμελέω to offend
G8813	πλημμέλημα a trespass
G8814	πλημμέλησις a trespass
G8815	πλήρωσις a filling
G8816	πλησίος dear one
G8817	πλινθεία making of bricks
G8818	πλινθεύω to make bricks
G8819	πλινθίον a brick-kiln
G8820	πλίνθος a brick
G8821	πλινθουργία brickmaking
G8822	πλοκή wreathen
G8823	πλόκιον a braid
G8824	πλωτός afloat
G8825	πνευματοφορέομαι be carried by wind
G8826	πνευματοφόρος carried by wind
G8827	πνεύμων lungs
G8828	πόα herbage
G8829	ποθέω to feel absence
G8830	ποικιλία embroidery
G8831	ποικίλλω to embroidered
G8832	ποίκιλμα color
G8833	ποικιλτής an embroiderer
G8834	ποικιλτικός embroidery
G8835	ποικιλτός an embroidered work
G8836	ποικίλως variously
G8837	ποιμενικός of a shepherd
G8838	πόκος fleece
G8839	πολεμικός warfare
G8840	πολέμιος warlike
G8841	πολεμιστής a warrior
G8842	πολιά grayness of hair
G8843	πολιορκέω to assault
G8844	πολιορκία an assault
G8845	πολιός gray hair
G8846	πολλαχῶς in many ways
G8847	πολλοστός a great deal
G8848	πολυάνδριον a cemetery
G8849	πολυέλεος full of mercy
G8850	πολυήμερος of many days
G8851	πολυοδία many ways
G8852	πολυοχλία a great multitude
G8853	πολυπλασιάζω to manifoldly multiply
G8854	πολυπληθέω be numerous
G8855	πολυπληθύνω to greatly multiply
G8856	πολύπλοκος crafty
G8857	πολυρρήμων talkative
G8858	πολυτόκος prolific
G8859	πολυχρονίζω to delay long
G8860	πολυχρόνιος long-lived
G8861	πολυωρέω to take great care
G8862	πονέω to suffer pain
G8863	πονηρεύομαι to act wickedly
G8864	ποντοπορέω to pass through a sea
G8865	πόρευσις a trek
G8866	πορνεῖον a place of harlotry
G8867	πορνικός of a harlot
G8868	πορνοκόπος a whoremonger
G8869	πορφυρίς of purple
G8870	πορφυρίων purple-legged stork
G8871	ποσαπλῶς how often
G8872	πότημα a drink
G8873	ποτιστήριον a channel
G8874	ποτός a beverage
G8875	πράσινος leek colored
G8876	πρᾶσις a sale
G8877	πράσον a leek
G8878	πραΰθυμος gentle-minded
G8879	πραΰνω to calm
G8880	πρεσβεῖον senior
G8881	πρέσβυς an ambassador
G8882	πρήθω to bloat
G8883	πρίαμαι to buy
G8884	πριστηροειδής toothed
G8885	πρίων a saw
G8886	προαίρεσις a resolve
G8887	προανατάσσω to prefer
G8888	προανατέλλω to sprout up early
G8889	προαπαγγέλλω to forewarn
G8890	προάστειον outskirts
G8891	πρόβασις an entrance approach
G8892	πρόβλημα a riddle
G8893	προεκφέρω to put forth first
G8894	προθυμέομαι to feel eager
G8895	πρόθυρον a threshold
G8896	προΐημι to let go
G8897	προκαθίστημι to post in front
G8898	προκαταλαμβάνω be first to take
G8899	προλήνιον a wine press
G8900	πρόλοβος a crop
G8901	προμαχών a battlement
G8902	προνομεύω to despoil
G8903	προνομή plunder
G8904	προοίμιον a retort
G8905	πρόπαππος a forefather
G8906	προπέτεια rashness
G8907	προπίπτω to fall down
G8908	πρόπυλον a gateway
G8909	προσανάβασις an ascent leading to
G8910	προσαποθνῄσκω to die in addition
G8911	προσβάλλω to strike up
G8912	προσβλητός amalgamated
G8913	προσγίνομαι unite with
G8914	προσδεκτός acceptable
G8915	προσδίδωμι to give in addition
G8916	προσοράω to look at
G8917	προσεῖπον to say to
G8918	προσεκκαίω to burn besides
G8919	προσεμπρήθω to set on fire besides
G8920	προσέτι moreover
G8921	προσηλυτεύω to convert
G8922	προσηνής kind
G8923	πρόσθεμα an addition
G8924	πρόσθεσις an addition
G8925	προσθλίβω to press to
G8926	προσκαίω be burnt through
G8927	προσκαταλείπω to leave surplus
G8928	πρόσκαυμα burnt
G8929	πρόσκειμαι to join up with
G8930	προσκεφαλής a pillow
G8931	προσκρούω to rush upon
G8932	προσλογίζομαι to count in addition to
G8933	προσμίγνυμι to mingle with
G8934	προσνοέω to pay attention to
G8935	πρόσοδος revenue
G8936	προσόζω to give out an odor
G8937	προσοίγω to shut
G8938	προσόχθισμα a loathsome thing
G8939	πρόσοψις aspect
G8940	προσπαίζω to play before
G8941	προσραίνω to sprinkle on
G8942	προσσιελίζω to salivate upon
G8943	πρόσταγμα an order
G8944	προστάς an antechamber
G8945	προστάτης a superintendent
G8946	προσχαίρω to rejoice with
G8947	προσχέω to pour on
G8948	πρόσχωμα a mound
G8949	προσχωρέω to join with
G8950	προτείχισμα area around a wall
G8951	προτέρημα honor
G8952	προτομή an upper part
G8953	προφασίζομαι to make an excuse
G8954	προφασιστικός offered as an excuse
G8955	προφυλακή an advance guard
G8956	προφύλαξ an advance guard
G8957	προφυλάσσω to keep guard over
G8958	πρόχειρος beforehand
G8959	προχώρημα excrement
G8960	πρώην a day before
G8961	πρωΐθεν from morning
G8962	πρῳρεύς a captain
G8963	πρωτοβαθρέω be seated first
G8964	πρωτοβολέω to put forth first
G8965	πρωτογενής first-born
G8966	πρωτογέννημα first produce
G8967	πρωτόγονος first-ripe
G8968	πρωτολογία beginning of speaking
G8969	πρωτοτοκεύω to give a right of first-born
G8970	πρωτοτοκέω to give birth first time
G8971	πταῖσμα fault
G8972	πταρμός a sneezing
G8973	πτερνίζω to stomp; catch by a heel
G8974	πτερνισμός trickery
G8975	πτερόν a feather
G8976	πτεροφυέω to grow wings
G8977	πτερύσσομαι to flap wings
G8978	πτερωτός feathered
G8979	πτήσσω to alarm
G8980	πτίλλος hairless
G8981	πτύελος spittle
G8982	πτύξις fold
G8983	πτυχή fold
G8984	πτωχίζω to make poor
G8985	πύγαργος white-tailed hart
G8986	πυθμήν a lower branch
G8987	πυκάζω be dense
G8988	πυλωρός a gatekeeper
G8989	πυξίον a writing tablet
G8990	πύξος boxwood
G8991	πυργόβαρις a towered fortification
G8992	πυρεῖον a censer
G8993	πυρίκαυστος scorched
G8994	πυρός wheat
G8995	πυροφόρος a wheat harvest
G8996	πυρράκης fiery red
G8997	πυρρίζω be reddish
G8998	πυρσεύω to light a fire
G8999	πυρσός a signal-fire
G9000	πυρφόρος a fire-bearer
G9001	πυρωτής a refiner
G9002	πώγων a beard
G9003	ῥαγάς a breach
G9004	ρ᾽άδαμνος a tender branch
G9005	Ῥαθαμά broom shrub
G9006	ῥαθυμέω be lazy
G9007	ῥαίνω to sprinkle
G9008	ῥακώδης ragged
G9009	ῥάμμα thread
G9010	ῥάμνος white-thorn
G9011	ῥαντός speckled
G9012	ῥαπτός strung together
G9013	ῥάπτω to sew
G9014	ρασίμ courier
G9015	ῥάσσω to dash down
G9016	ῥαφιδευτής a stitcher
G9017	ῥαφιδευτός a stitched work
G9018	ῥάχις a spine
G9019	ῥέγχω to snore
G9020	ῥεμβεύω to stray
G9021	ῥέμβω to stray
G9022	ῥῆσις a saying
G9023	ῥητίνη balm
G9024	ῥητός in particular
G9025	ῥῖγος shivering
G9026	ῥίζωμα a root
G9027	ῥίν nostril
G9028	ῥιπιστός ventilated
G9029	ῥόα a pomegranate
G9030	ῥοιζέω to gurgle
G9031	ῥοῖζος impetus
G9032	ῥοΐσκος a pomegranate figure
G9033	ῥόπαλον a club
G9034	ῥοπή crux
G9035	ῥοών a pomegranate grove
G9036	ῥύαξ an overflow
G9037	ῥυθμίζω to compose
G9038	ῥυθμός a proportion
G9039	ῥύστης a rescuer
G9040	Ρωκεϊμ a perfumer
G9041	ῥωγαλέος stone
G9042	ς 6
G9043	Σαββατίζω to observe sabbaths
G9044	σαβεί glory
G9045	σαβέκ a thicket
G9046	σάγμα a packsaddle
G9047	Σαδδαΐ Saddai
G9048	σαδημώθ a plain
G9049	σαδηρώθ ranks
G9050	σαθρός rotten
G9051	σαθρόω to disintegrate
G9052	σαμβύκη a sambuke
G9053	σανιδωτός planked
G9054	σαπρία rottenness
G9055	σαπρίζω to rot
G9056	σαράβαρα pantaloons
G9057	σάρδιος a carnelian
G9058	σατραπεία a satrapy
G9059	σατράπης satrap
G9060	σαύρα a lizard
G9061	σαφώθ cheese
G9062	σαφῶς clearly
G9063	Σειρήν a siren
G9064	σειρομάστης a spear
G9065	σελίς column
G9066	σελισία of three years
G9067	σεραφίμ seraphim
G9068	σευτλίον a beet
G9069	σημαία a flag
G9070	σημασία a cheer
G9071	σημείωσις a signal
G9072	σῆψις putrefaction
G9073	σθένος strength (physical)
G9074	σιαγόνιον a jawbone
G9075	σῖγα quiet
G9076	σιδήριον an iron implement
G9077	σίελον saliva
G9078	σίκιμα a portion
G9079	σίκλος a shekel
G9080	σικυήρατον a cucumber garden
G9081	σίκυος a cucumber
G9082	σιρώνων ornaments
G9083	σισόη a consecrated lock of hair
G9084	σιτέω be well fed
G9085	σιτοβολών a granary
G9086	σιτοδεία scarcity
G9087	σιτοδοσία provision
G9088	σιτομετρέω to measure out grain
G9089	σιτοποιός a baker
G9090	σιωπή silence
G9091	σιώπησις a veil
G9092	σκάλλω to till
G9093	σκαμβός crooked
G9094	σκελίζω to trip up
G9095	σκεπάζω to shelter
G9096	σκέπαρνον a hammer
G9097	σκεπαστής a shelterer
G9098	σκέπη a shelter
G9099	σκεπηνός protected
G9100	σκέπτομαι to look about
G9101	σκευασία a concoction
G9102	σκευαστός concocted
G9103	σκευοφύλαξ provisions officer
G9104	σκῆπτρον a chiefdom
G9105	σκιάδιον an awning
G9106	σκιάζω to shade
G9107	σκληροκάρδιος hard-hearted
G9108	σκληροπρόσωπος harsh
G9109	σκληρῶς harshly
G9110	σκνίψ a midge
G9111	σκολιάζω perverse
G9112	σκολιότης deformity
G9113	σκολιῶς crookedly
G9114	σκόπελον a high rock
G9115	σκοπιά a height
G9116	σκόρδον garlic
G9117	σκοτάζω to darken
G9118	σκοτομήνη moonlight
G9119	σκυθρωπάζω to look downcast
G9120	σκυλεύω to despoil
G9121	σκύμνος a cub
G9122	σκυτάλη a stave
G9123	σκῶλον an impediment
G9124	σμαραγδίτης an emerald
G9125	σμῆγμα beauty treatment
G9126	σμικρύνω to diminish
G9127	σμῖλαξ a yew tree
G9128	σμυρίτης an emery stone
G9129	σμύρνινος of myrrh
G9130	σοφιστής a wise man
G9131	σοφόω to give wisdom
G9132	σοφῶς wisely
G9133	σπάδων a castrato
G9134	σπανίζω be depleted
G9135	σπάνιος sparingly
G9136	σπάργανον swaddling cloth
G9137	σπαρτίον a cord
G9138	σπερματίζω to conceive
G9139	σπερματισμός a discharge of semen
G9140	σπιθαμή a span
G9141	σπινθήρ a spark
G9142	σποδιά a pile of ashes
G9143	σποδοειδής ashen
G9144	σπονδεῖον a libation bowl
G9145	σπονδή a libation
G9146	σταγών a drop (liquid)
G9147	στάζω to drip
G9148	σταθμάω to measure by a rule
G9149	στάθμιον a scale-weight
G9150	σταθμός a doorpost
G9151	σταῖς dough
G9152	στακτή balsam
G9153	σταλάζω to trickle
G9154	σταφίς a dried grape
G9155	στέαρ fat
G9156	στεατόομαι to grow fat
G9157	στεγάζω to roof
G9158	στεγνός roofed
G9159	στέλεχος a stick
G9160	στέμφυλον dregs
G9161	στενακτός bemoaned
G9162	στένω to moan
G9163	στενῶς in a strait
G9164	στένωσις straitness
G9165	στερεοκάρδιος hard-hearted
G9166	στερέω to deprive
G9167	στερίσκω to deprive
G9168	στεφάνη a rim
G9169	στηθοδεσμίς a breastband
G9170	στηθύνιον a breast
G9171	στήλη a monument
G9172	στηλογραφία an inscription on a monument
G9173	στηλόω to set up a monument
G9174	στήλωμα a pillar
G9175	στήμων a warp
G9176	στήριγμα a reliance
G9177	στιβαρός dense
G9178	στιβαρῶς densely
G9179	στίβι antimony
G9180	στιβίζομαι to tinge with antimony
G9181	στικτός a mark
G9182	στιλβόω to brighten
G9183	στίλβωσις shine
G9184	στίχος a row
G9185	στοιβάζω to pile
G9186	στοιβή a pile
G9187	στοιχίζω to set in rows
G9188	στολίζω to robe
G9189	στολισμός a uniform
G9190	στολιστής a keeper of wardrobe
G9191	στοχάζομαι to take thought
G9192	στοχαστής a thinker
G9193	στραγγαλιά perverseness
G9194	στραγγαλιώδης insidious
G9195	στραγγίζω to wring out
G9196	στρατοκῆρυξ herald of an army
G9197	στρατοπεδεία a military encampment
G9198	στρατοπεδεύω to encamp
G9199	στρεβλός crooked
G9200	στρέμμα a strand
G9201	στρίφνος tough
G9202	στροβέω to whirl
G9203	στρογγύλος globular
G9204	στρογγύλωμα round
G9205	στρογγύλωσις a battleline
G9206	στρουθίζω to chirp
G9207	στρουθός an ostrich
G9208	στροφεύς a hinge
G9209	στροφή a shift and turn
G9210	στρόφιγξ a hinge
G9211	στροφωτός turnings
G9212	στρῶμα a bedding
G9213	στρωμνή a strewn bed
G9214	στυγνός gloomy
G9215	στυππέϊνος of hemp
G9216	στυππίον hemp
G9217	στυράκινος of a green poplar
G9218	συγγίνομαι be intimate with
G9219	συγγραφή a writ
G9220	συγκαθυφαίνω to interweave
G9221	συγκαίω to burn with
G9222	συγκάλυμμα a marriage veil
G9223	συγκατακληρονομέομαι to inherit together
G9224	συγκαταμίγνυμι to mix together with
G9225	συγκατεσθίω to devour together
G9226	συγκαταφέρω to carry together
G9227	συγκατοικέω to dwell together
G9228	σύγκειμαι be situated together
G9229	συγκερατίζομαι to mix horns
G9230	συγκλασμός a splinter
G9231	συγκλάω to break in pieces together
G9232	σύγκλεισμα a joinery
G9233	συγκλεισμός a confinement
G9234	συγκλειστός joined
G9235	σύγκλητος summoned
G9236	συγκλύζω to engulf
G9237	σύγκοιτος a bed-mate
G9238	συγκόπτω to cut down
G9239	σύγκρασις an admixture
G9240	σύγκριμα interpretation
G9241	σύγκρισις amalgamation
G9242	συγκροτέω to strike together
G9243	συγκυρέω to fall in with
G9244	συζώννυμι to tie together
G9245	συκάμινον fruit of sycamine trees
G9246	συκεών a fig grove
G9247	συκοφάντης an extortioner
G9248	συκοφαντία extortion
G9249	σύλληψις a seizing
G9250	συλλογή collection
G9251	συλλογισμός assessment
G9252	συλλοιδορέω to join in reviling
G9253	συμβαστάζω be compared with
G9254	σύμβλημα a coupling
G9255	σύμβλησις a coupling
G9256	συμβοηθός an ally
G9257	συμβολή a compact
G9258	συμβολοκοπέω be fond of carousing
G9259	σύμβολον a symbol
G9260	συμβόσκομαι to feed together
G9261	συμβουλία advice
G9262	συμμαχέω to fight along with
G9263	συμμαχία an alliance in war
G9264	σύμμετρος well-proportioned
G9265	συμμιγής mixed together
G9266	συμμίγνυμι to mix together with
G9267	σύμμικτος consolidation
G9268	σύμμιξις an alliance
G9269	συμπαρίστημι to stand up with
G9270	σύμπας all things
G9271	συμπατέω to trample upon together
G9272	συμπεραίνω to finish off together
G9273	συμπεριφέρω to accommodate
G9274	σύμπλεκτος closely joined
G9275	συμπλέκω be closely joined
G9276	συμπλήρωσις fulfillment
G9277	συμποδίζω to bind hand and foot
G9278	συμπολεμέω to join in war with
G9279	συμπορπάομαι to clasp together
G9280	συμπροπέμπω to escort
G9281	συμπρόσειμι to adhere with
G9282	συμπροσπλέκομαι to grapple together
G9283	σύμπτωμα a coincidence
G9284	συμφλέγω to burn together
G9285	συμφοράζω to lament together
G9286	συμφράσσω to shut up together
G9287	συμφρύγω to parch
G9288	συμφύρω to blend together
G9289	συμφώνως harmoniously
G9290	συμψάω to scrape away
G9291	συνᾴδω to sing together in concert
G9292	συνάλλαγμα exchange
G9293	συνανάμιξις intermingling with
G9294	συναναφέρω to join in carrying off
G9295	συναντή a meeting with
G9296	συνάντημα an event
G9297	συνάπτω to join together
G9298	συναριθμέω to count with
G9299	συναυλίζομαι to lodge with
G9300	σύναψις an association
G9301	συνδειπνέω to dine with
G9302	συνδυάζω to associate oneself
G9303	σύνεγγυς in the vicinity
G9304	συνεδριάζω to sit together with
G9305	συνεκπολεμέω to join in making war
G9306	συνεκπορεύομαι to go forth together
G9307	συνεκτρέφω to bring up together
G9308	συνέλκω to draw together
G9309	συνεξαίρω to raise up together
G9310	συνεξέρχομαι to go out together
G9311	συνεπακολουθέω to follow after together
G9312	συνεπισκέπω to consider together
G9313	συνεπίσταμαι be conscious of
G9314	συνεπισχύω to vigorously assist
G9315	συνεπιτίθημι to join in making an attack
G9316	συνεταιρίς a female companion
G9317	συνέταιρος a male companion
G9318	συνετίζω to bring understanding to
G9319	συνετῶς expertly
G9320	συνευφραίνομαι be glad with
G9321	συνῆλιξ a contemporary
G9322	συνθέλω to acquiesce
G9323	σύνθεμα an agreement with
G9324	σύνθεσις a composition
G9325	σύνθετος compounded
G9326	συνθήκη a treaty
G9327	συνίστωρ a joint witness
G9328	συννέφω to collect clouds together
G9329	συννεφής covered with clouds
G9330	σύννυμφος a sister-in-law
G9331	σύνοδος a convocation
G9332	συνοικίζω to live together
G9333	συνούλωσις closing of a wound
G9334	συνταγή an arranged order
G9335	σύνταγμα an arranged order
G9336	σύνταξις a rate
G9337	συνταράσσω to disturb
G9338	συντέλεσμα custom (tax)
G9339	συντίμησις a price
G9340	συντριβή a breaking
G9341	συντριμμός a break
G9342	σύντριψις a defeat
G9343	συντροχάζω to roll together
G9344	συνυφαίνω to weave together
G9345	συνυφή a woven part
G9346	συνωμότης a confederate
G9347	σύριγμα a hissing
G9348	σῦριγξ a flute
G9349	συρίζω to hiss
G9350	συρισμός a hissing
G9351	συρράπτω to sew together
G9352	σύσκηνος a fellow tent-dweller
G9353	συσκιάζω to overshadow
G9354	σύσκιος shady
G9355	συσκοτάζω to darken
G9356	συσπάω to shrivel
G9357	συσσεισμός a quaking
G9358	συσσείω to shake
G9359	σύστασις a joint-conspiracy
G9360	σύστεμα collection
G9361	σύστρεμμα a confederation
G9362	συσφίγγω close to
G9363	σφαιρωτήρ a knob
G9364	σφακελίζω to have an inflammation
G9365	σφαλερός unsteady
G9366	σφάλλω to trip
G9367	σφάλμα a trip
G9368	σφενδονάω to sling
G9369	σφενδόνη a sling
G9370	σφενδονήτης a slinger
G9371	σφηκιά a swarm of wasps
G9372	σφηνόω to wedge
G9373	σφίγγω to grasp
G9374	σφοδρός vehement
G9375	σφόνδυλος a neck vertebrae
G9376	σφῦρα an adz
G9377	σφυροκοπέω to strike with a hammer
G9378	σφυροκόπος a hammer-smith
G9379	σχάζω to open up
G9380	σχεδία a barge
G9381	σχίδαξ kindling
G9382	σχίζα a dart
G9383	σχισμή a fissure
G9384	σχιστός shredded
G9385	σχοίνισμα a measured out line
G9386	σχοινισμός a piece of measured out land
G9387	σχοῖνος a rush
G9388	σχολαστής an idler
G9389	σωματοποιέω to rejuvenate
G9390	σωρήκ a choice vine
G9391	σωρός a heap
G9392	σωφάρ ram's horn
G9394	ταινία fascia
G9395	τακτικός tactician
G9396	ταλαιπώρως miserably
G9397	τάλας miserable
G9398	ταμίας a storekeeper
G9399	ταμιεύω to store up
G9400	τανύω to stretch
G9401	ταπεινοφρονέω be humble-minded
G9402	ταπεινόφρων humble-minded
G9403	ταραχώδης disturbing
G9404	Τάρταρος infernal region
G9405	τάφρος a trench
G9406	ταχύνω to hasten
G9407	τείνω to stretch out
G9408	τειχήρης walled
G9409	τειχίζω to wall
G9410	τειχιστής a stonemason
G9411	τεκνοποιέω to produce children
G9412	τεκταίνομαι to contrive
G9413	τεκτονικός a woodworker
G9414	τελαμών a ligature
G9415	τελεσιουργέω to perfect a work
G9416	τελετή mystic rites
G9417	τελευταῖος finality
G9418	τέμενος a sacred precinct
G9419	τέμνω to prune
G9420	τερατοσκόπος an observer of signs
G9421	τερέβινθος terebinth resin
G9422	τέρετρον a drill
G9423	τερπνός delightful
G9424	τερπνότης delightfulness
G9425	τέρπω to delight
G9426	τέρψις delight
G9427	τεσσαρακονταδύο forty-two
G9428	τεσσαρακονταεπτά forty-seven
G9429	τεσσαρακονταοκτώ forty-eight
G9430	τεσσαρακονταπέντε forty-five
G9431	τεσσαρακοντατρεῖς forty-three
G9432	τεσσαρακοστός fortieth
G9433	τεσσαρεσκαίδεκα fourteen
G9434	τετράδραχμος four-drachma
G9435	τετραίνω puncture
G9436	τετρακισμύριοι forty thousand
G9437	τετρακοσιοστός four hundredth
G9438	τετράπεδος quadrangular
G9439	τετραπλῶς fourfold
G9440	τετράς fourth
G9441	τετράστιχος arranged in four rows
G9442	τεχνάζω to cunningly contrive
G9443	Τηβήθ Tebeth
G9444	τήγανον a frying pan
G9445	τηλαύγημα radiance
G9446	τηλαυγής radiant
G9447	τηλαύγησις radiance
G9448	τιάρα a tiara
G9449	τιθηνέω to suckle
G9450	τιθηνός a wet-nurse
G9451	τίμημα valuation
G9452	τιμογραφέω to assess
G9453	τίναγμα vibration
G9454	Τιτάν titan
G9455	τιτρώσκω to pierce
G9456	τμητός to cut into shape
G9457	τοκετός birth
G9458	τόλμα daring
G9459	τολύπη a wild gourd
G9460	τομή pruning
G9461	τομίς a pruning knife
G9462	τόμος a roll of papyrus
G9463	τόξευμα a bow
G9464	τοξεύω to shoot
G9465	τοξότης a bowman
G9466	τοπάρχης a toparch
G9467	τορευτός turned
G9468	τραγέλαφος an antelope
G9469	τρανός plainly
G9470	τραυματίας slain
G9471	τραχηλιάω to stiffen the neck
G9472	τρέπω to rout
G9473	τριακονταδύο thirty-two
G9474	τριακονταεννέα thirty-nine
G9475	τριακονταέξ thirty-six
G9476	τριακονταεπτά thirty-seven
G9477	τριακονταέτης thirty years old
G9478	τριακονταοκτώ thirty-eight
G9479	τριακονταπέντε thirty-five
G9480	τριακοντατρεῖς thirty-three
G9481	τριακοντατέσσαρες thirty-four
G9482	τριακοστός thirtieth
G9483	τρίβω be very busy
G9484	τριέτης of three years
G9485	τριετίζω be three years old
G9486	τριημερία third day
G9487	τριμερίζω be three parts
G9488	τριόδους three-pronged
G9489	τριπλοῦς triple
G9490	τρισκαίδεκα thirteen
G9491	τρισκαιδέκατος thirteenth
G9492	τρισσεύω to do three times
G9493	τρισσός third rank
G9494	τρισσόω to do a third time
G9495	τρισσῶς third
G9496	τριστάτης a tribune
G9497	τριταῖος three days
G9498	τρίχαπτος a braid
G9499	τρίχωμα hair on a head
G9500	τριώροφος third story
G9501	τροπόω to put to flight
G9502	τροφεύω to nourish
G9503	τροφοφορέω to nurture
G9504	τροχίσκος a disc
G9505	τρυγητής a grape gatherer
G9506	τρυγητός a gathering of crops
G9507	τρυγίας wine with dregs
G9508	τρυπάω to make a hole
G9509	τρυφαλίς cheese
G9510	τρυφερός delicate
G9511	τρυφερότης delicacy
G9512	τρώγλη a bore
G9513	τυλόω be hardened
G9514	τυμπανίστρια performing on a tambourine
G9515	τύμπανον a tambourine
G9516	τυραννέω be sovereign
G9517	τυραννίς a wife of a sovereign
G9518	τυρόω to curdle into cheese
G9519	τύχη good luck
G9520	ὕαινα a hyena
G9521	ὑβριστικός outrageous
G9522	ὑγιάζω to heal
G9523	ὑγίεια health
G9524	ὑγιῶς fairly
G9525	ὑγραίνω to wet
G9526	ὑγρασία wetness
G9527	ὑδραγωγός an aqueduct
G9528	ὑδρεύω to draw water
G9529	ὑδρίσκη a water-pot
G9530	ὑδροφόρος a water-carrier
G9531	ὕειος like a pig
G9532	ὑετίζω to rain
G9533	ὑλακτέω to bark
G9534	ὑλώδης flush
G9535	ὕμνησις singing of praise
G9536	ὑμνῳδέω to sing a hymn
G9537	ὕπαιθρος open air
G9538	ὕπατος supreme
G9539	ὑπεξαίρω to remove secretly
G9540	ὑπεράνωθεν far above
G9541	ὑπέραρσις overflowing
G9542	ὑπερασπίζω to shield
G9543	ὑπερασπισμός shielding
G9544	ὑπερασπιστής a defender
G9545	ὑπερδυναμόω to overpower
G9547	ὑπερεκχέω to overflow
G9548	ὑπερηφανέω be prideful
G9549	ὑπέρθυρον a lintel
G9550	ὑπερισχύω to excel in strength
G9551	ὑπέρκειμαι to have precedence
G9552	ὑπερκρατέω to prevail against
G9553	ὑπερμεγέθης immense
G9554	ὑπερμήκης exceedingly tall
G9555	ὕπερον a pestle
G9556	ὑπερόρασις neglect
G9557	ὑπεροράω to neglect
G9558	ὑπέροψις disdain
G9559	ὑπερτίθημι to procrastinate
G9560	ὑπερφερής overwhelming
G9561	ὑπερφέρω to overwhelm
G9562	ὑπερχαρής overjoyed
G9563	ὑπερχέω to overflow
G9564	ὑπερωμία head and shoulders above
G9565	ὑπεύθυνος accountable
G9566	ὑπηρεσία service
G9567	ὑπνόω to sleep
G9568	ὑπνώδης sleepy
G9569	ὑποβλέπω to suspect
G9570	ὑπόγαιος subterranean
G9571	ὑποδύτης an undergarment
G9572	ὑπόθεμα an underpart
G9573	ὑποκαίω to fire up
G9574	ὑποκαλύπτω to cover up
G9575	ὑποκάτωθεν from beneath
G9576	ὑπόκειμαι to lay in place of
G9577	ὑπόλειμμα a vestige
G9578	ὑπόλοιπος a vestige
G9579	ὑπόλυσις a loosening
G9580	ὑπολύω to untie
G9581	ὑπόμνημα a record
G9582	ὑπομνηματισμός a memoir
G9583	ὑπομνηματογράφος a recorder
G9584	ὑπονύσσω to goad
G9585	ὑποπίπτω be penitent
G9586	ὑποπτεύω to dread
G9587	ὑποπυρρίζω be reddish
G9588	ὑποσκελίζω to trip up
G9589	ὑποσκέλισμα a fall
G9590	ὑπόστημα a garrison
G9591	ὑποστήριγμα a support
G9592	ὑποστηρίζω to support
G9593	ὑποτίτθιος under a breast
G9594	ὑπουργός an aid
G9595	ὑπόφαυσις a narrow opening
G9596	ὑπόφορος subject to tribute
G9597	ὑποχείριος under one's hand
G9598	ὑποχόνδριος a spleen
G9599	ὑπόχρεως a debtor
G9600	ὑποχυτήρ an oil flask
G9601	ὑπτιάζω to turn up and open hands
G9602	ὕπτιος steep
G9603	ὑπώπιος a bruise
G9604	ὑστεροβουλία an afterthought
G9605	ὑφαίνω to weave
G9606	ὑφαιρέω to take up
G9607	ὑφάντης a weaver
G9608	ὕφασμα a woven work
G9609	ὑφίστημι to stand
G9610	ὑψηλοκάρδιος a proud heart
G9611	ὕψωσις act of exaltation
G9612	ὕω to rain
G9613	φαιός gray
G9614	φακός a flask
G9615	φαλακρός bald
G9616	φαλάκρωμα baldness
G9617	φαρέτρα a quiver
G9618	φαρμακεύω to administer potions
G9619	φάρμακον a potion
G9620	φαρουρίμ a compound
G9621	φάρυγξ a throat
G9622	φασέκ a passover
G9623	φάσμα a visible manifestation
G9624	φατνόω to decorate with fretwork
G9625	φάτνωμα a fretwork
G9626	φαυλίζω to treat as worthless
G9627	φαύλισμα a careless attitude
G9628	φαυλισμός disparagement
G9629	φαυλίστρια heedless
G9630	φαῦσις giving light
G9631	φερνή a dowry
G9632	φερνίζω to endow
G9633	φθάρμα corruption
G9634	φθέγμα an utterance
G9635	φθειρίζομαι to fumigate
G9636	φθίνω to wane
G9637	φιλαμαρτήμων fond of sinning
G9638	φιλεχθρέω fond of quarreling
G9639	φιλιάζω to befriend
G9640	φιλογέωργος fond of husbandry
G9641	φιλογύναιος fond of women
G9642	φιλονεικέω be fond of altercations
G9643	φιμός a rein
G9644	φλεγμαίνω be inflamed
G9645	φλέγω to blaze
G9646	φλέψ an artery
G9647	φλιά a doorway
G9648	φλόγινος flaming
G9649	φλυκτίς a boil
G9650	φοβερίζω to throw into fear
G9651	φοβερισμός fright
G9652	φοβερῶς fearfully
G9653	φοινίκεος crimson
G9654	φοινικών palm-grove
G9655	φονευτής a man-killer
G9656	φονοκτονέω to pollute with murder
G9657	φορβεά a halter
G9658	φορεῖον a carriage
G9659	φορθομμίν nobles
G9660	φορολόγητος tributary
G9661	φορολόγος tribute-gatherer
G9662	φρίκη shuddering awe
G9663	φρικτός a cause for shuddering
G9664	φρικώδης a cause for shuddering
G9665	φροντίς bewilderment
G9666	φρουρά a detachment of soldiers
G9667	φρουραί lots
G9668	φρύαγμα neighing
G9669	φρύγιον dried sticks
G9670	φρύγω to parch
G9671	φυγαδεία flight
G9672	φυγαδεῖον a place of refuge
G9673	φυγαδευτήριον a place of refuge
G9674	φυγαδεύω to drive into exile
